소환사명,소속,경기수,승,패,승률,킬,데스,어시스트,KDA,킬관여
Whitelotus,Infinity eSports,29,10,19,34.50%,106,61,109,3.5,64.90%
JAPONE,1907 Fenerbahçe,20,10,10,50%,10,46,160,3.7,68.10%
Olleh,Team Liquid,26,10,16,38.50%,22,73,163,2.5,73.30%
Gaeng,DetonatioN FM,27,10,17,37%,25,71,188,3,69.70%
FBI,100 Thieves,26,10,16,38.50%,106,72,132,3.3,70.50%
Babip,The Chiefs,25,10,15,40%,69,78,162,3,79.80%
Nisqy,MAD Lions,35,10,25,28.60%,97,123,211,2.5,65.30%
Vsta,Hanwha Life Esports,17,10,7,58.80%,14,46,146,3.5,62.90%
Tactical,Team Liquid,18,10,8,55.60%,50,42,98,3.5,61.90%
Morgan,BRION,17,10,7,58.80%,37,47,100,2.9,58.90%
Willer,FearX,17,10,7,58.80%,60,42,111,4.1,65.80%
TusiN,kt rolster,16,9,7,56.30%,7,31,104,3.6,70.30%
Hai,Cloud 9,21,9,12,42.90%,59,99,110,1.7,63%
Wuxx,Royal Never Give Up,14,9,5,64.30%,56,35,76,3.8,59%
Hasmed,SAIGON BUFFALO ESPORTS,25,9,16,36%,83,89,85,1.9,50.40%
Froggy,SAIGON BUFFALO ESPORTS,25,9,16,36%,53,82,161,2.6,64.60%
Taki,SAIGON BUFFALO ESPORTS,25,9,16,36%,20,84,213,2.8,64.90%
Shogun,SAIGON BUFFALO ESPORTS,25,9,16,36%,113,71,124,3.3,66%
Danny,Evil Geniuses,21,9,12,42.90%,74,57,108,3.2,56%
Kaori,Evil Geniuses,16,9,7,56.30%,80,37,64,3.9,60.90%
Slayder,GAM Esports,17,9,8,52.90%,78,29,65,4.9,61.20%
Palette,GAM Esports,17,9,8,52.90%,12,39,149,4.1,64.50%
brTT,Flamengo eSports,26,9,17,34.60%,80,73,101,2.5,55.50%
Jirall,Rainbow7,19,9,10,47.40%,30,39,100,3.3,58.20%
Alphari,Team Liquid,19,9,10,47.40%,34,39,79,2.9,57.70%
Pobelter,Team Liquid,24,9,15,37.50%,37,57,105,2.5,62.20%
Sw0rd,Fredit BRION,14,9,5,64.30%,39,40,78,2.9,56.30%
Gori,Golden Guardians,17,9,8,52.90%,51,45,105,3.5,67.60%
Effort,BRION,12,9,3,75%,8,43,97,2.4,57.50%
Genthix,Rainbow7,19,9,10,47.40%,7,46,163,3.7,73.90%
ShiauC,CTBC Flying Oyster,24,9,15,37.50%,20,78,201,2.8,78.20%
yuyanjia,Top Esports,15,9,6,60%,9,38,121,3.4,62.40%
Adam,Team BDS,22,9,13,40.90%,72,81,88,2,52.60%
Woong,CJ Entus,12,8,4,66.70%,42,33,86,3.9,70.10%
CloudTemplar,CJ Entus,12,8,4,66.70%,26,29,97,4.2,70.70%
RapidStar,CJ Entus,12,8,4,66.70%,47,30,79,4.2,69.70%
Heart,Samsung Blue,13,8,5,61.50%,9,49,157,3.4,72.80%
Acorn,LGD gaming,16,8,8,50%,26,50,121,2.9,54.40%
Thaldrin,1907 Fenerbahçe,28,8,20,28.60%,26,98,122,1.5,51.90%
